SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
679,Stellar,XLM,6/14/2016 23:59,0.00182462,0.00152126,0.00156061,0.00175435,176486,9623802.003
680,Stellar,XLM,6/15/2016 23:59,0.00175548,0.00158927,0.00175412,0.00166759,31926.80078,9147864.441
681,Stellar,XLM,6/16/2016 23:59,0.00172166,0.0016148,0.00166721,0.00172166,30780.40039,9444475.137
682,Stellar,XLM,6/17/2016 23:59,0.0018285,0.00164191,0.00172301,0.00169671,60975.89844,9307607.431
683,Stellar,XLM,6/18/2016 23:59,0.00179929,0.00165446,0.00169749,0.00175802,37093.30078,9643934.447
684,Stellar,XLM,6/19/2016 23:59,0.00185772,0.00172076,0.00175779,0.00183143,57598.69922,10046638.19
685,Stellar,XLM,6/20/2016 23:59,0.00192284,0.0017468,0.00183481,0.00177443,77259.60156,9733954.449
686,Stellar,XLM,6/21/2016 23:59,0.00196707,0.00168317,0.00176128,0.00171133,124214,9387808.066
687,Stellar,XLM,6/22/2016 23:59,0.0017607,0.00161945,0.00170942,0.00162029,70192.39844,8888391.796
688,Stellar,XLM,6/23/2016 23:59,0.00168604,0.00155834,0.00164054,0.00166595,37747.39844,9138867.926
689,Stellar,XLM,6/24/2016 23:59,0.00184666,0.00163625,0.00166579,0.00178622,80903.70313,9798630.612
690,Stellar,XLM,6/25/2016 23:59,0.00184559,0.00171969,0.00178909,0.00178789,52335.19922,9807791.696
691,Stellar,XLM,6/26/2016 23:59,0.00214096,0.00178779,0.00178779,0.00202581,394757,11112944.59
692,Stellar,XLM,6/27/2016 23:59,0.00286346,0.00194041,0.00202002,0.00265704,543934,14575670.12
693,Stellar,XLM,6/28/2016 23:59,0.00264537,0.00227835,0.00254531,0.0023331,849604,12798639.07
694,Stellar,XLM,6/29/2016 23:59,0.00234984,0.00200165,0.00234656,0.00204016,299766,11191664.09
695,Stellar,XLM,6/30/2016 23:59,0.00218743,0.0020302,0.00204827,0.00214289,152025,11755207.95
696,Stellar,XLM,7/1/2016 23:59,0.00212195,0.00201493,0.00211747,0.00203464,77518.89844,11161383.14
697,Stellar,XLM,7/2/2016 23:59,0.00207099,0.00200157,0.00203522,0.00204049,46648.80078,11193474.36
698,Stellar,XLM,7/3/2016 23:59,0.00204117,0.0018682,0.00203461,0.00192795,49340.10156,10576115.98
